HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4107.12.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.19","2","Other:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.19.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.19.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.19.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.19.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.19.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.19.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.19.60","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.60.50","6","Sole leather","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"4107.19.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
